Model,Validation Loss,Validation mse,Validation mae,Testing Loss,Testing mse,Testing mae,rmse,r_squared,mae
Best_Model_1,0.22973081469535828,0.22973081469535828,0.25699806213378906,0.3528236150741577,0.3528236150741577,0.31182795763015747,0.5939895471907379,0.815798751695877,0.31182821082606527
Best_Model_2,0.22606179118156433,0.22606179118156433,0.2632022202014923,0.3227905333042145,0.3227905333042145,0.29751813411712646,0.5681468760014271,0.8314781531087374,0.29751827356648575
