Model,Validation Loss,Validation mse,Validation mae,Testing Loss,Testing mse,Testing mae,rmse,r_squared,mae
Best_Model_1,0.20337820053100586,0.20337820053100586,0.2753831446170807,0.26026302576065063,0.26026302576065063,0.2978397011756897,0.5101597554583367,0.8641225600967755,0.2978396058434264
Best_Model_2,0.20779460668563843,0.20779460668563843,0.2919737994670868,0.28081023693084717,0.28081023693084717,0.32887089252471924,0.5299154603150475,0.8533952152736713,0.3288711096804558
Best_Model_3,0.20915324985980988,0.20915324985980988,0.2915128767490387,0.2954407036304474,0.2954407036304474,0.3287111520767212,0.5435446226624164,0.8457570328147337,0.32871115015121033
